NOC,Sport,Year,Total_Athletes,Gold,Silver,Bronze,Total_Medals
BEL,Shooting,2000,2,0,0,0,0
BEL,Shooting,2004,1,0,0,0,0
BEL,Shooting,2012,1,0,1,0,1
BEL,Shooting,2016,1,0,0,0,0
BEL,Shooting,2020,1,0,0,0,0
BEL,Skateboarding,2020,2,0,0,0,0
BEL,Sport Climbing,2024,1,0,0,0,0
BEL,Table Tennis,1988,2,0,0,0,0
BEL,Table Tennis,1992,3,0,0,0,0
BEL,Table Tennis,1996,2,0,0,0,0
BEL,Table Tennis,2000,4,0,0,0,0
BEL,Table Tennis,2004,1,0,0,0,0
BEL,Table Tennis,2008,1,0,0,0,0
BEL,Table Tennis,2012,1,0,0,0,0
BEL,Table Tennis,2024,2,0,0,0,0
BEL,Taekwondo,2004,1,0,0,0,0
BEL,Taekwondo,2016,3,0,0,0,0
BEL,Taekwondo,2020,1,0,0,0,0
BEL,Taekwondo,2024,1,0,0,1,1
BEL,Tennis,1920,32,0,0,0,0
BEL,Tennis,1924,18,0,0,0,0
BEL,Tennis,1992,1,0,0,0,0
BEL,Tennis,1996,5,0,0,0,0
BEL,Tennis,2000,5,0,0,2,2
BEL,Tennis,2004,5,1,0,0,1
BEL,Tennis,2008,4,0,0,0,0
BEL,Tennis,2012,5,0,0,0,0
BEL,Tennis,2016,5,0,0,0,0
BEL,Tennis,2020,6,0,0,0,0
BEL,Tennis,2024,3,0,0,0,0
BEL,Triathlon,2000,2,0,0,0,0
BEL,Triathlon,2004,2,0,0,0,0
BEL,Triathlon,2008,2,0,0,0,0
BEL,Triathlon,2012,2,0,0,0,0
BEL,Triathlon,2016,4,0,0,0,0
BEL,Triathlon,2020,7,0,0,0,0
BEL,Triathlon,2024,4,0,0,0,0
BEL,Volleyball,1968,12,0,0,0,0
BEL,Weightlifting,1906,2,0,0,0,0
BEL,Weightlifting,1920,7,1,1,1,3
BEL,Weightlifting,1924,8,0,0,0,0
BEL,Weightlifting,1928,8,0,0,0,0
BEL,Weightlifting,1948,3,0,0,0,0
BEL,Weightlifting,1952,2,0,0,0,0
BEL,Weightlifting,1956,1,0,0,0,0
BEL,Weightlifting,1960,2,0,0,0,0
BEL,Weightlifting,1964,1,0,0,0,0
BEL,Weightlifting,1968,2,0,1,0,1
BEL,Weightlifting,1972,1,0,0,0,0
BEL,Weightlifting,1976,1,0,0,0,0
BEL,Weightlifting,1980,3,0,0,0,0
BEL,Weightlifting,2000,2,0,0,0,0
BEL,Weightlifting,2008,1,0,0,0,0
BEL,Weightlifting,2012,1,0,0,0,0
BEL,Weightlifting,2016,1,0,0,0,0
BEL,Weightlifting,2020,2,0,0,0,0
BEL,Weightlifting,2024,1,0,0,0,0
BEL,Wrestling,1906,3,0,0,1,1
BEL,Wrestling,1908,4,0,0,0,0
BEL,Wrestling,1912,1,0,0,0,0
BEL,Wrestling,1920,14,0,0,0,0
BEL,Wrestling,1924,17,0,1,0,1
BEL,Wrestling,1928,13,0,1,0,1
BEL,Wrestling,1936,11,0,0,0,0
BEL,Wrestling,1948,12,0,0,0,0
BEL,Wrestling,1952,12,0,0,0,0
BEL,Wrestling,1956,4,0,1,0,1
BEL,Wrestling,1960,5,0,0,0,0
BEL,Wrestling,1964,3,0,0,0,0
BEL,Wrestling,1968,2,0,0,0,0
BEL,Wrestling,1972,3,0,0,0,0
BEL,Wrestling,1976,3,0,0,0,0
BEL,Wrestling,1980,3,0,0,0,0
BEL,Wrestling,1988,1,0,0,0,0
BEL,Wrestling,1992,1,0,0,0,0
BEL,Wrestling,1996,1,0,0,0,0
BEN,Athletics,1972,1,0,0,0,0
BEN,Athletics,1980,10,0,0,0,0
BEN,Athletics,1988,9,0,0,0,0
BEN,Athletics,1992,5,0,0,0,0
BEN,Athletics,1996,7,0,0,0,0
BEN,Athletics,2000,2,0,0,0,0
BEN,Athletics,2004,2,0,0,0,0
BEN,Athletics,2008,2,0,0,0,0
BEN,Athletics,2012,2,0,0,0,0
BEN,Athletics,2016,2,0,0,0,0
BEN,Athletics,2020,3,0,0,0,0
BEN,Athletics,2024,2,0,0,0,0
BEN,Boxing,1972,2,0,0,0,0
BEN,Boxing,1980,7,0,0,0,0
BEN,Boxing,1984,3,0,0,0,0
BEN,Boxing,2012,1,0,0,0,0
BEN,Cycling,1992,2,0,0,0,0
BEN,Fencing,2016,1,0,0,0,0
BEN,Judo,1988,1,0,0,0,0
BEN,Judo,2012,1,0,0,0,0
BEN,Judo,2016,1,0,0,0,0
BEN,Judo,2020,1,0,0,0,0
BEN,Judo,2024,1,0,0,0,0
BEN,Rowing,2020,1,0,0,0,0
BEN,Taekwondo,2000,1,0,0,0,0
BEN,Taekwondo,2008,1,0,0,0,0
BEN,Tennis,2000,1,0,0,0,0
BER,Athletics,1948,16,0,0,0,0
BER,Athletics,1952,4,0,0,0,0
BER,Athletics,1968,2,0,0,0,0
BER,Athletics,1976,12,0,0,0,0
BER,Athletics,1984,4,0,0,0,0
BER,Athletics,1988,7,0,0,0,0
BER,Athletics,1992,5,0,0,0,0
BER,Athletics,1996,4,0,0,0,0
BER,Athletics,2000,1,0,0,0,0
BER,Athletics,2004,1,0,0,0,0
BER,Athletics,2008,2,0,0,0,0
BER,Athletics,2012,2,0,0,0,0
BER,Athletics,2016,2,0,0,0,0
BER,Athletics,2024,1,0,0,0,0
BER,Boxing,1972,1,0,0,0,0
BER,Boxing,1976,2,0,0,1,1
BER,Boxing,1988,1,0,0,0,0
BER,Cycling,1984,3,0,0,0,0
BER,Cycling,1996,1,0,0,0,0
BER,Equestrianism,1984,1,0,0,0,0
BER,Equestrianism,1988,2,0,0,0,0
BER,Equestrianism,1992,3,0,0,0,0
BER,Equestrianism,1996,1,0,0,0,0
BER,Equestrianism,2000,1,0,0,0,0
BER,Equestrianism,2004,1,0,0,0,0
BER,Equestrianism,2008,1,0,0,0,0
BER,Equestrianism,2012,1,0,0,0,0
BER,Rowing,1972,1,0,0,0,0
BER,Rowing,2016,1,0,0,0,0
BER,Rowing,2020,1,0,0,0,0
BER,Rowing,2024,1,0,0,0,0
BER,Sailing,1956,3,0,0,0,0
BER,Sailing,1960,9,0,0,0,0
BER,Sailing,1964,4,0,0,0,0
BER,Sailing,1968,4,0,0,0,0
BER,Sailing,1972,7,0,0,0,0
BER,Sailing,1976,6,0,0,0,0
BER,Sailing,1984,3,0,0,0,0
BER,Sailing,1988,2,0,0,0,0
BER,Sailing,1992,7,0,0,0,0
BER,Sailing,1996,4,0,0,0,0
BER,Sailing,2000,3,0,0,0,0
BER,Sailing,2004,5,0,0,0,0
BER,Sailing,2012,2,0,0,0,0
BER,Sailing,2016,2,0,0,0,0
BER,Sailing,2024,1,0,0,0,0
BER,Tennis,1988,1,0,0,0,0
BER,Triathlon,2004,1,0,0,0,0
BER,Triathlon,2008,1,0,0,0,0
BER,Triathlon,2012,2,0,0,0,0
BER,Triathlon,2016,1,0,0,0,0
BER,Triathlon,2020,1,1,0,0,1
BER,Triathlon,2024,3,0,0,0,0
BHU,Archery,1984,6,0,0,0,0
BHU,Archery,1988,6,0,0,0,0
BHU,Archery,1992,12,0,0,0,0
BHU,Archery,1996,2,0,0,0,0
BHU,Archery,2000,2,0,0,0,0
BHU,Archery,2004,2,0,0,0,0
BHU,Archery,2008,2,0,0,0,0
BHU,Archery,2012,1,0,0,0,0
BHU,Archery,2016,1,0,0,0,0
BHU,Archery,2020,1,0,0,0,0
BHU,Archery,2024,1,0,0,0,0
BHU,Athletics,2024,1,0,0,0,0
BHU,Judo,2020,1,0,0,0,0
BHU,Shooting,2012,1,0,0,0,0
BHU,Shooting,2016,1,0,0,0,0
BHU,Shooting,2020,1,0,0,0,0
BIH,Athletics,1992,4,0,0,0,0
BIH,Athletics,1996,2,0,0,0,0
BIH,Athletics,2000,4,0,0,0,0
BIH,Athletics,2004,2,0,0,0,0
BIH,Athletics,2008,2,0,0,0,0
BIH,Athletics,2012,2,0,0,0,0
BIH,Athletics,2016,5,0,0,0,0
BIH,Athletics,2020,2,0,0,0,0
BIH,Athletics,2024,1,0,0,0,0
BIH,Canoeing,1992,1,0,0,0,0
BIH,Canoeing,1996,1,0,0,0,0
BIH,Canoeing,2004,1,0,0,0,0
BIH,Judo,1992,1,0,0,0,0
BIH,Judo,1996,1,0,0,0,0
BIH,Judo,2000,1,0,0,0,0
BIH,Judo,2004,1,0,0,0,0
BIH,Judo,2008,1,0,0,0,0
BIH,Judo,2012,1,0,0,0,0
BIH,Judo,2016,1,0,0,0,0
BIH,Judo,2020,1,0,0,0,0
BIH,Judo,2024,2,0,0,0,0
BIH,Shooting,1992,2,0,0,0,0
BIH,Shooting,1996,3,0,0,0,0
BIH,Shooting,2000,4,0,0,0,0
BIH,Shooting,2004,3,0,0,0,0
BIH,Shooting,2008,3,0,0,0,0
BIH,Shooting,2012,3,0,0,0,0
BIH,Shooting,2016,1,0,0,0,0
BIH,Shooting,2020,1,0,0,0,0
BIH,Table Tennis,1996,1,0,0,0,0
BIH,Table Tennis,2004,1,0,0,0,0
BIH,Taekwondo,2004,1,0,0,0,0
BIH,Taekwondo,2020,1,0,0,0,0
BIH,Tennis,2004,1,0,0,0,0
BIH,Tennis,2016,2,0,0,0,0
BIH,Weightlifting,1992,1,0,0,0,0
BIH,Wrestling,1996,1,0,0,0,0
BIZ,Athletics,1968,2,0,0,0,0
BIZ,Athletics,1976,2,0,0,0,0
BIZ,Athletics,1984,4,0,0,0,0
BIZ,Athletics,1988,5,0,0,0,0
BIZ,Athletics,1992,10,0,0,0,0
BIZ,Athletics,1996,4,0,0,0,0
BIZ,Athletics,2000,2,0,0,0,0
BIZ,Athletics,2004,2,0,0,0,0
BIZ,Athletics,2008,3,0,0,0,0
BIZ,Athletics,2012,2,0,0,0,0
BIZ,Athletics,2016,2,0,0,0,0
BIZ,Athletics,2020,2,0,0,0,0
BIZ,Athletics,2024,1,0,0,0,0
BIZ,Boxing,1984,1,0,0,0,0
BIZ,Cycling,1968,2,0,0,0,0
BIZ,Cycling,1984,8,0,0,0,0
BIZ,Cycling,1988,8,0,0,0,0
BIZ,Cycling,1992,8,0,0,0,0
BIZ,Cycling,1996,1,0,0,0,0
BIZ,Judo,2012,1,0,0,0,0
BIZ,Judo,2016,1,0,0,0,0
BIZ,Shooting,1968,2,0,0,0,0
BIZ,Shooting,1972,2,0,0,0,0
BIZ,Shooting,1976,2,0,0,0,0
BIZ,Taekwondo,2008,1,0,0,0,0
BIZ,Weightlifting,1968,1,0,0,0,0
BLR,Archery,1996,2,0,0,0,0
BLR,Archery,2000,2,0,0,0,0
BLR,Archery,2004,2,0,0,0,0
BLR,Archery,2008,2,0,0,0,0
BLR,Archery,2012,1,0,0,0,0
BLR,Archery,2016,1,0,0,0,0
BLR,Archery,2020,6,0,0,0,0
BLR,Artistic Gymnastics,2020,5,0,0,0,0
BLR,Athletics,1996,38,0,2,2,4
BLR,Athletics,2000,31,2,0,3,5
BLR,Athletics,2004,44,1,0,0,1
BLR,Athletics,2008,49,1,3,2,6
BLR,Athletics,2012,48,0,0,0,0
BLR,Athletics,2016,36,0,1,0,1
BLR,Athletics,2020,31,0,0,1,1
BLR,Badminton,1996,4,0,0,0,0
BLR,Badminton,2008,1,0,0,0,0
BLR,Badminton,2012,1,0,0,0,0
BLR,Basketball,2008,12,0,0,0,0
BLR,Basketball,2016,10,0,0,0,0
BLR,Boxing,1996,5,0,0,0,0
BLR,Boxing,2000,1,0,0,0,0
BLR,Boxing,2004,6,0,2,0,2
BLR,Boxing,2008,4,0,0,0,0
BLR,Boxing,2012,3,0,0,0,0
BLR,Boxing,2016,3,0,0,0,0
BLR,Boxing,2020,4,0,0,0,0
BLR,Canoeing,1996,4,0,0,0,0
BLR,Canoeing,2000,7,0,0,0,0
BLR,Canoeing,2004,14,0,0,2,2
BLR,Canoeing,2008,13,6,0,2,8
BLR,Canoeing,2012,15,0,4,4,8
BLR,Canoeing,2016,7,0,0,4,4
BLR,Cycling,1996,7,0,0,0,0
BLR,Cycling,2004,7,0,0,1,1
BLR,Cycling,2008,6,0,0,0,0
BLR,Cycling,2012,11,0,0,0,0
BLR,Cycling,2016,7,0,0,0,0
BLR,Cycling Road,2020,3,0,0,0,0
BLR,Cycling Track,2020,2,0,0,0,0
BLR,Equestrian,2020,1,0,0,0,0
BLR,Equestrianism,2004,1,0,0,0,0
BLR,Equestrianism,2008,3,0,0,0,0
BLR,Equestrianism,2012,2,0,0,0,0
BLR,Fencing,1996,1,0,0,0,0
BLR,Fencing,2000,7,0,0,0,0
BLR,Fencing,2004,2,0,0,0,0
BLR,Fencing,2008,6,0,0,0,0
BLR,Fencing,2012,7,0,0,0,0
BLR,Fencing,2016,1,0,0,0,0
BLR,Football,2012,16,0,0,0,0
BLR,Gymnastics,1996,90,0,0,4,4
BLR,Gymnastics,2000,74,0,0,0,0
BLR,Gymnastics,2004,17,0,0,0,0
BLR,Gymnastics,2008,42,0,0,0,0
BLR,Gymnastics,2012,3,0,0,0,0
BLR,Gymnastics,2016,10,0,0,0,0
BLR,Judo,1996,4,0,0,0,0
BLR,Judo,2000,5,0,0,1,1
BLR,Judo,2004,7,1,0,0,1
BLR,Judo,2008,4,0,0,0,0
BLR,Judo,2012,2,0,0,0,0
BLR,Judo,2016,2,0,0,0,0
BLR,Judo,2020,3,0,0,0,0
BLR,Modern Pentathlon,2000,2,0,0,1,1
BLR,Modern Pentathlon,2004,3,0,0,0,0
BLR,Modern Pentathlon,2008,4,0,0,0,0
BLR,Modern Pentathlon,2012,4,0,0,0,0
BLR,Modern Pentathlon,2016,1,0,0,0,0
BLR,Modern Pentathlon,2020,3,0,0,0,0
BLR,Rhythmic Gymnastics,1996,8,0,0,0,0
BLR,Rhythmic Gymnastics,2000,8,0,7,0,7
BLR,Rhythmic Gymnastics,2004,8,0,0,0,0
BLR,Rhythmic Gymnastics,2008,8,0,1,6,7
BLR,Rhythmic Gymnastics,2012,8,0,6,1,7
BLR,Rhythmic Gymnastics,2016,7,0,0,0,0
BLR,Rhythmic Gymnastics,2020,7,0,0,1,1
BLR,Rowing,1996,17,1,0,9,10
BLR,Rowing,2000,10,1,0,0,1
BLR,Rowing,2004,11,0,1,2,3
BLR,Rowing,2008,13,0,0,3,3
BLR,Rowing,2012,5,0,0,0,0
BLR,Rowing,2016,10,0,0,0,0
BLR,Rowing,2020,5,0,0,0,0
BLR,Sailing,1996,6,0,0,0,0
BLR,Sailing,2000,4,0,0,0,0
BLR,Sailing,2004,1,0,0,0,0
BLR,Sailing,2008,4,0,0,0,0
BLR,Sailing,2012,2,0,0,0,0
BLR,Sailing,2016,2,0,0,0,0
BLR,Sailing,2020,2,0,0,0,0
BLR,Shooting,1996,18,0,1,0,1
BLR,Shooting,2000,19,0,1,3,4
BLR,Shooting,2004,15,0,0,1,1
BLR,Shooting,2008,14,0,0,0,0
BLR,Shooting,2012,13,1,0,0,1
BLR,Shooting,2016,8,0,0,0,0
BLR,Shooting,2020,8,0,0,0,0
BLR,Table Tennis,1996,3,0,0,0,0
BLR,Table Tennis,2000,9,0,0,0,0
BLR,Table Tennis,2004,6,0,0,0,0
BLR,Table Tennis,2008,4,0,0,0,0
BLR,Table Tennis,2012,3,0,0,0,0
BLR,Table Tennis,2016,3,0,0,0,0
BLR,Tennis,1996,4,0,0,0,0
BLR,Tennis,2000,8,0,0,0,0
BLR,Tennis,2004,4,0,0,0,0
BLR,Tennis,2008,7,0,0,0,0
BLR,Tennis,2012,5,2,0,1,3
BLR,Tennis,2016,2,0,0,0,0
BLR,Tennis,2020,5,0,0,0,0
BLR,Trampoline Gymnastics,2020,2,1,0,0,1
BLR,Weightlifting,1996,9,0,0,0,0
BLR,Weightlifting,2000,5,0,0,2,2
BLR,Weightlifting,2004,8,0,2,1,3
BLR,Weightlifting,2008,10,1,1,1,3
BLR,Weightlifting,2012,8,0,0,2,2
BLR,Weightlifting,2016,8,0,2,0,2
BLR,Weightlifting,2020,2,0,0,0,0
BLR,Wrestling,1996,15,0,3,1,4
BLR,Wrestling,2000,14,0,0,1,1
BLR,Wrestling,2004,10,0,0,1,1
BLR,Wrestling,2008,9,0,0,2,2
BLR,Wrestling,2012,11,0,0,0,0
BLR,Wrestling,2016,8,0,1,2,3
BLR,Wrestling,2020,8,0,2,1,3
BOH,Athletics,1900,5,0,1,0,1
BOH,Athletics,1906,13,0,0,0,0
BOH,Athletics,1908,6,0,0,0,0
BOH,Athletics,1912,15,0,0,0,0
BOH,Cycling,1900,1,0,0,0,0
BOH,Cycling,1912,10,0,0,0,0
BOH,Fencing,1906,1,0,0,0,0
BOH,Fencing,1908,23,0,0,6,6
BOH,Fencing,1912,27,0,0,0,0
BOH,Gymnastics,1900,1,0,0,0,0
BOH,Gymnastics,1906,3,0,0,0,0
BOH,Gymnastics,1908,2,0,0,0,0
BOH,Gymnastics,1912,1,0,0,0,0
BOH,Rowing,1912,1,0,0,0,0
BOH,Shooting,1906,5,0,0,0,0
BOH,Tennis,1900,2,0,0,2,2
BOH,Tennis,1906,5,0,0,3,3
BOH,Tennis,1908,6,0,0,0,0
BOH,Tennis,1912,15,0,0,0,0
BOH,Wrestling,1906,2,0,0,0,0
BOH,Wrestling,1908,4,0,0,0,0
BOH,Wrestling,1912,4,0,0,0,0
BOL,Athletics,1972,6,0,0,0,0
BOL,Athletics,1976,1,0,0,0,0
BOL,Athletics,1984,4,0,0,0,0
BOL,Athletics,1988,2,0,0,0,0
BOL,Athletics,1992,9,0,0,0,0
BOL,Athletics,1996,3,0,0,0,0
BOL,Athletics,2000,2,0,0,0,0
BOL,Athletics,2004,2,0,0,0,0
BOL,Athletics,2008,2,0,0,0,0
BOL,Athletics,2012,2,0,0,0,0
BOL,Athletics,2016,6,0,0,0,0
BOL,Athletics,2020,2,0,0,0,0
BOL,Athletics,2024,2,0,0,0,0
BOL,Boxing,1984,1,0,0,0,0
BOL,Canoeing,1964,1,0,0,0,0
BOL,Canoeing,1968,1,0,0,0,0
BOL,Cycling,1976,2,0,0,0,0
BOL,Cycling,1988,3,0,0,0,0
BOL,Cycling,1992,2,0,0,0,0
BOL,Cycling,1996,1,0,0,0,0
BOL,Cycling,2008,1,0,0,0,0
BOL,Cycling,2016,1,0,0,0,0
BOL,Equestrianism,1968,1,0,0,0,0
BOL,Equestrianism,1972,1,0,0,0,0
BOL,Equestrianism,1976,1,0,0,0,0
BOL,Fencing,1984,2,0,0,0,0
BOL,Fencing,1988,1,0,0,0,0
BOL,Fencing,1996,1,0,0,0,0
BOL,Gymnastics,2004,5,0,0,0,0
BOL,Judo,1984,1,0,0,0,0
BOL,Judo,1988,1,0,0,0,0
BOL,Judo,1992,2,0,0,0,0
BOL,Judo,2004,1,0,0,0,0
BOL,Judo,2016,1,0,0,0,0
BOL,Shooting,1968,2,0,0,0,0
BOL,Shooting,1972,7,0,0,0,0
BOL,Shooting,1976,1,0,0,0,0
BOL,Shooting,1984,4,0,0,0,0
BOL,Shooting,1992,1,0,0,0,0
BOL,Shooting,2004,1,0,0,0,0
BOL,Shooting,2008,1,0,0,0,0
BOL,Shooting,2012,1,0,0,0,0
BOL,Shooting,2016,2,0,0,0,0
BOL,Tennis,2000,1,0,0,0,0
BOL,Tennis,2020,1,0,0,0,0
BOL,Weightlifting,1988,1,0,0,0,0
BOL,Weightlifting,1992,1,0,0,0,0
BOL,Weightlifting,2008,1,0,0,0,0
BOL,Wrestling,1984,1,0,0,0,0
BOT,Athletics,1980,8,0,0,0,0
BOT,Athletics,1984,7,0,0,0,0
BOT,Athletics,1988,9,0,0,0,0
BOT,Athletics,1992,5,0,0,0,0
BOT,Athletics,1996,6,0,0,0,0
BOT,Athletics,2000,8,0,0,0,0
BOT,Athletics,2004,10,0,0,0,0
BOT,Athletics,2008,7,0,0,0,0
BOT,Athletics,2012,3,0,1,0,1
BOT,Athletics,2016,11,0,0,0,0
BOT,Athletics,2020,11,0,0,6,6
BOT,Athletics,2024,17,1,6,0,7
BOT,Boxing,1988,2,0,0,0,0
BOT,Boxing,1992,1,0,0,0,0
BOT,Boxing,1996,1,0,0,0,0
BOT,Boxing,2000,1,0,0,0,0
BOT,Boxing,2004,2,0,0,0,0
BOT,Boxing,2008,2,0,0,0,0
BOT,Boxing,2012,1,0,0,0,0
BOT,Boxing,2020,2,0,0,0,0
BOT,Judo,2016,1,0,0,0,0
BOT,Sailing,1984,1,0,0,0,0
BOT,Weightlifting,2020,1,0,0,0,0
BRA,Archery,1980,2,0,0,0,0
BRA,Archery,1984,1,0,0,0,0
BRA,Archery,1988,2,0,0,0,0
BRA,Archery,1992,2,0,0,0,0
BRA,Archery,2008,1,0,0,0,0
BRA,Archery,2012,1,0,0,0,0
BRA,Archery,2016,12,0,0,0,0
BRA,Archery,2020,4,0,0,0,0
BRA,Archery,2024,4,0,0,0,0
BRA,Artistic Gymnastics,2020,43,1,1,0,2
BRA,Artistic Gymnastics,2024,43,1,2,5,8
BRA,Athletics,1900,3,0,0,0,0
BRA,Athletics,1924,14,0,0,0,0
BRA,Athletics,1932,22,0,0,0,0
BRA,Athletics,1936,11,0,0,0,0
BRA,Athletics,1948,27,0,0,0,0
BRA,Athletics,1952,16,1,0,1,2
BRA,Athletics,1956,13,1,0,0,1
BRA,Athletics,1960,6,0,0,0,0
BRA,Athletics,1964,1,0,0,0,0
BRA,Athletics,1968,3,0,1,0,1
BRA,Athletics,1972,3,0,0,1,1
BRA,Athletics,1976,11,0,0,1,1
BRA,Athletics,1980,20,0,0,1,1
BRA,Athletics,1984,35,1,0,0,1
BRA,Athletics,1988,26,0,1,1,2
BRA,Athletics,1992,31,0,0,0,0
BRA,Athletics,1996,50,0,0,4,4
BRA,Athletics,2000,23,0,5,0,5
BRA,Athletics,2004,43,0,0,1,1
BRA,Athletics,2008,49,1,0,4,5
BRA,Athletics,2012,40,0,0,0,0
BRA,Athletics,2016,72,1,0,0,1
BRA,Athletics,2020,67,0,0,2,2
BRA,Athletics,2024,56,0,1,1,2
BRA,Badminton,2016,2,0,0,0,0
BRA,Badminton,2020,2,0,0,0,0
BRA,Badminton,2024,2,0,0,0,0
BRA,Basketball,1936,8,0,0,0,0
BRA,Basketball,1948,10,0,0,10,10
BRA,Basketball,1952,13,0,0,0,0
BRA,Basketball,1956,12,0,0,0,0
BRA,Basketball,1960,12,0,0,12,12
BRA,Basketball,1964,12,0,0,12,12
BRA,Basketball,1968,12,0,0,0,0
BRA,Basketball,1972,11,0,0,0,0
BRA,Basketball,1980,11,0,0,0,0
BRA,Basketball,1984,12,0,0,0,0
BRA,Basketball,1988,12,0,0,0,0
BRA,Basketball,1992,24,0,0,0,0
BRA,Basketball,1996,24,0,12,0,12
BRA,Basketball,2000,12,0,0,12,12
BRA,Basketball,2004,12,0,0,0,0
BRA,Basketball,2008,12,0,0,0,0
BRA,Basketball,2012,23,0,0,0,0
BRA,Basketball,2016,23,0,0,0,0
BRA,Basketball,2024,12,0,0,0,0
BRA,Beach Volleyball,1996,8,2,2,0,4
BRA,Beach Volleyball,2000,8,0,4,2,6
BRA,Beach Volleyball,2004,8,2,2,0,4
BRA,Beach Volleyball,2008,8,0,2,2,4
BRA,Beach Volleyball,2012,8,0,2,2,4
BRA,Beach Volleyball,2016,8,2,2,0,4
BRA,Beach Volleyball,2020,8,0,0,0,0
BRA,Beach Volleyball,2024,8,2,0,0,2
BRA,Boxing,1948,3,0,0,0,0
BRA,Boxing,1952,6,0,0,0,0
BRA,Boxing,1956,2,0,0,0,0
BRA,Boxing,1960,5,0,0,0,0
BRA,Boxing,1964,3,0,0,0,0
BRA,Boxing,1968,2,0,0,1,1
BRA,Boxing,1972,2,0,0,0,0
BRA,Boxing,1976,4,0,0,0,0
BRA,Boxing,1980,4,0,0,0,0
BRA,Boxing,1988,3,0,0,0,0
BRA,Boxing,1992,4,0,0,0,0
BRA,Boxing,1996,6,0,0,0,0
BRA,Boxing,2000,6,0,0,0,0
BRA,Boxing,2004,5,0,0,0,0
BRA,Boxing,2008,6,0,0,0,0
BRA,Boxing,2012,10,0,1,2,3
BRA,Boxing,2016,9,1,0,0,1
BRA,Boxing,2020,7,1,1,1,3
BRA,Boxing,2024,10,0,0,1,1
BRA,Canoeing,1992,9,0,0,0,0
BRA,Canoeing,1996,4,0,0,0,0
BRA,Canoeing,2000,7,0,0,0,0
BRA,Canoeing,2004,4,0,0,0,0
BRA,Canoeing,2008,3,0,0,0,0
BRA,Canoeing,2012,4,0,0,0,0
BRA,Canoeing,2016,18,0,3,1,4
BRA,Cycling,1936,3,0,0,0,0
BRA,Cycling,1956,2,0,0,0,0
BRA,Cycling,1960,2,0,0,0,0
BRA,Cycling,1972,2,0,0,0,0
BRA,Cycling,1980,10,0,0,0,0
BRA,Cycling,1984,8,0,0,0,0
BRA,Cycling,1988,14,0,0,0,0
BRA,Cycling,1992,9,0,0,0,0
BRA,Cycling,1996,9,0,0,0,0
BRA,Cycling,2000,4,0,0,0,0
BRA,Cycling,2004,6,0,0,0,0
BRA,Cycling,2008,5,0,0,0,0
BRA,Cycling,2012,11,0,0,0,0
BRA,Cycling,2016,10,0,0,0,0
BRA,Cycling BMX Freestyle,2024,1,0,0,0,0
BRA,Cycling BMX Racing,2020,2,0,0,0,0
BRA,Cycling BMX Racing,2024,1,0,0,0,0
BRA,Cycling Mountain Bike,2020,3,0,0,0,0
BRA,Cycling Mountain Bike,2024,2,0,0,0,0
BRA,Cycling Road,2024,2,0,0,0,0
BRA,Equestrian,2020,17,0,0,0,0
BRA,Equestrian,2024,17,0,0,0,0
BRA,Equestrianism,1948,12,0,0,0,0
BRA,Equestrianism,1952,7,0,0,0,0
BRA,Equestrianism,1956,6,0,0,0,0
BRA,Equestrianism,1960,6,0,0,0,0
BRA,Equestrianism,1964,1,0,0,0,0
BRA,Equestrianism,1968,6,0,0,0,0
BRA,Equestrianism,1972,3,0,0,0,0
BRA,Equestrianism,1984,7,0,0,0,0
BRA,Equestrianism,1988,8,0,0,0,0
BRA,Equestrianism,1992,10,0,0,0,0
BRA,Equestrianism,1996,13,0,0,4,4
BRA,Equestrianism,2000,15,0,0,4,4
BRA,Equestrianism,2004,18,1,0,0,1
BRA,Equestrianism,2008,18,0,0,0,0
BRA,Equestrianism,2012,16,0,0,0,0
BRA,Equestrianism,2016,24,0,0,0,0
BRA,Fencing,1936,18,0,0,0,0
BRA,Fencing,1948,11,0,0,0,0
BRA,Fencing,1952,8,0,0,0,0
BRA,Fencing,1968,7,0,0,0,0
BRA,Fencing,1976,1,0,0,0,0
BRA,Fencing,1988,11,0,0,0,0
BRA,Fencing,1992,4,0,0,0,0
BRA,Fencing,2000,1,0,0,0,0
BRA,Fencing,2004,3,0,0,0,0
BRA,Fencing,2008,2,0,0,0,0
BRA,Fencing,2012,3,0,0,0,0
BRA,Fencing,2016,25,0,0,0,0
BRA,Fencing,2020,2,0,0,0,0
BRA,Fencing,2024,3,0,0,0,0
BRA,Football,1952,11,0,0,0,0
BRA,Football,1960,14,0,0,0,0
BRA,Football,1964,12,0,0,0,0
BRA,Football,1968,16,0,0,0,0
BRA,Football,1972,17,0,0,0,0
BRA,Football,1976,17,0,0,0,0
BRA,Football,1984,16,0,16,0,16
BRA,Football,1988,16,0,16,0,16
BRA,Football,1996,33,0,0,17,17
BRA,Football,2000,33,0,0,0,0
BRA,Football,2004,17,0,17,0,17
BRA,Football,2008,35,0,18,17,35
BRA,Football,2012,34,0,18,0,18
BRA,Football,2016,35,17,0,0,17
BRA,Football,2020,44,22,0,0,22
BRA,Football,2024,22,0,22,0,22
BRA,Golf,2016,3,0,0,0,0
BRA,Gymnastics,1980,12,0,0,0,0
BRA,Gymnastics,1984,12,0,0,0,0
BRA,Gymnastics,1988,12,0,0,0,0
BRA,Gymnastics,1992,12,0,0,0,0
